"","SampleID","glycocholate","palmitoylethanolamide","hexadecanamide","dihydrosphingosine","trans-9-octadecenoic acid isomer","stearamide","lysophosphatidylethanolamine(0:0/16:0)","hypoxanthine","acetyl-β-glucosaminylamine","phytenate","cis-10-nonadecenoic acid","Dl-ala-Dl-ala","hexadecan-1-ol","3,4-epoxy-6,9-octadecadiene isomer","heneicosanoic acid","3-methyluridine","nutriacholic acid","α-tocopherol","5-methyluridine","p-tolualdehyde","geranylgeraniol","4α-formyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol","5β-cholestane-3α,7α,12α,26-tetraol","7α-hydroxycholest-4-en-3-one","glycocholic acid","(±)-abscisic acid","Indole-3-lactic acid","D-glucuronic acid","lignoceric acid","2-phenylbutyric acid","palmitic acid","chol-11-enic acid","10-oxooctadecanoic acid|10-keto stearic acid","1-linoleoyl-rac-glycerol","deoxycholic acid","5-formylsalicylic acid","4α-carboxy-4β-methyl-5α-cholesta-8,24-dien-3β-ol","1-palmitoyl-GPE (16:0)","palmitoyl sphingomyelin (d18:1/16:0)","10-undecenoic acid","4-cholesten-3-one","1-ethyladenine","10-oxooctadecanoic acid/10-keto stearic acid isomer","aldosterone","tricosanoic acid","9-oxoode","homovanillic acid","glycerol 1-hexadecanoate","trans-cinnamic acid","coenzyme Q10","butylparaben","24,25-epoxycholesterol","2-hydroxy cinnamic acid","nicotinic acid","carnitine","kynurenic acid","lysophosphatidylethanolamine(0:0/15:0)","4-ethylphenol","delta2-THA","7-ketocholesterol","palmitoylethanolamide isomer","4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoic acid","7-ketodeoxycholic acid","D-(+)-malic acid","docosahexaenoic acid","stearoyl ethanolamide","13-hydroxyoctadecanoic acid","Hexadecasphinganine/C16 sphinganine","4α-hydroxymethyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol","mannose","xanthine","4α-hydroxymethyl-5α-cholesta-8,24-dien-3β-ol","(±)12,13-DiHOME","stearidonic acid","N-acetyl-L-glutamic acid","1-(1Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine","cholic acid","phytosphingosine","9-hydroxy-10E,12Z-octadecadienoic acid","erucic acid","γ-Tocopherol","γ-tocopherol/β-tocopherol","24S,25-epoxy-cholest-5-en-3β-ol","2-hexyldecanoic acid","glutamic acid","triamcinolone aceton","4α-carboxy-5α-cholesta-8,24-dien-3β-ol","oxoproline/pyroglutamic acid","3-(3-hydroxyphenyl)propanoic acid","12-ketodeoxycholic acid","Bis(2-ethylhexyl)-phthalate","glycidyl stearate","MG(0:0/18:3(9Z,12Z,15Z)/0:0) isomer","N-palmitoyl-sphinganine (d18:0/16:0)","5α-cholesta-8,24-dien-3-one","pentadecanoic acid","3,12 diketocholanic acid","cholesteryl laurate"
"HC_1","HC_1",37412.2,85654.96778,14320.68869,356173.8333,359571.8802,11822.78125,15808.14889,19925.43313,41419.92182,30109.75,528520.48,32510.80909,670223.5123,79600.8,274269.9102,64466.61486,422746.8125,217289.3896,172883.3621,6738.794668,38061.95511,72366.768,67121.15385,10250.72074,20029.26545,316951.1025,31189.80709,71337.71667,14608012.93,36460.34167,53477.32171,183071.5942,78678.84755,352714.7657,317583.1738,13252.71033,101149.18,228359.3574,81143.75571,19217.341,30762.36667,44073.15931,91221.6,1428468.563,3251159.28,26562.25793,6699.32078,245261.536,2680.808127,1339877.95,16933.29958,41652.4941,6453.574,643982.6974,149653.2857,31209.50667,4171.732992,921.2505188,67192.80388,88763.20909,15917.56083,81642.82133,28288.98664,506597.1476,15417.1164,16760.622,140350.8096,23751.44557,201487.875,15670.19143,85806.36343,76370.31,27835.225,131640.0814,125959.8384,1116.85073,40846.74713,45088.7498,112382.303,439831.215,123229.3646,235883.086,156016.9,25902.87,1497510.943,439619.305,452960.912,844473.28,1512.49875,459495.0188,86639.4516,393740.7464,923117.6598,4553410.778,231660.0338,60225.60137,164793.19,2989.315151
"HC_2","HC_2",25521.14516,110591.3775,25198.76675,958088.72,78474.30455,13477.85,151045.1815,8815.125,36651.459,31283.02286,53921.4312,29609.78,523577.1499,7661.335564,94618.78111,145850.1765,344399.2711,199240.6107,280693.2925,97687.72488,57469.104,64750.23625,140880.675,4215.607125,48962.856,382165.98,27476.638,133447.411,5517417.944,329911.155,54963.91,184064.0994,351612.2536,381884.9166,135109.4718,16280.61188,238009.684,72815.53456,44389.37,43458.472,1674.588379,8147.010668,29040.792,310683.6309,831915.825,10527.09971,13519.64066,105193.0845,4113.013333,359892.975,16899.9635,23821.37568,5773.448155,616748.0096,77706.898,79412.812,85868.055,3377.501709,65049.45103,44280.06,21350.0265,24573.69133,40361.19,398396.2222,6870.497111,14050.2806,186730.8687,94414.6575,1040617.712,142530.8556,38320.75657,23775.55714,4346.068667,97739.88824,202520.9501,12734.46536,57212.19773,27166.29434,30141.12338,313848.15,20293.12875,78924.3758,82079.6175,43053.06628,710461.6661,373949.9478,333146.304,429849.2116,4707.993182,339115.9647,34285.68,445460.9523,1033517.152,5224146.255,75486.999,69602.28,494045.71,8419.198975
"HC_3","HC_3",52695.1104,95655.939,28095.40275,332081.5467,17434.26439,17762.1303,8815.037,47599.90938,51847.042,35510.74333,147298.3724,40820.502,854583.422,29539.6954,195496.41,1643.213946,1162660.498,114540.7683,4290.538191,50404.63212,20523.64,144296.3545,41483.79857,11867.63226,39037.02,144743.58,24355.41429,270631.725,6434754.938,123075.68,102505,779357.0858,71895.894,1335733.595,101157.4569,28209.03936,52001.41091,58023.7578,44631.18512,52599.73714,20393.53589,436019.7559,48686.00727,73300.74267,1609115.949,12663.14,85272.225,512500.0492,278334.8989,1016363.83,27834.51375,50723.53022,87939.46487,977965.0635,316479.0041,62147.415,4098.598477,129467.3825,66171.04,44446.53636,52764.751,62982.0828,24239.93556,420546.799,12248.2554,47954.33044,37020.4896,79533.06525,623461.5214,233777.7709,97559.83222,29684.96286,39744.72663,79616.34286,8450.686707,2260.44425,70242.90967,71297.06925,154984.921,279372.5254,144195.6333,119772.749,50532.76978,38058.696,1045630.362,209068.6675,461247.15,533375.458,43021.20455,297044.0177,143941.3777,364139.55,1077388.912,5039698.088,77015.49314,44603.24,56748.01,4898.097351
"HC_4","HC_4",52537.2569,113340.9263,3027.150495,570632.88,68015.7435,5880.305664,705788.7323,51894.34938,36066.366,43485.70857,108777.2187,31393.24583,764912.1153,19577.8159,19319.40545,1623.872689,992852.5954,53863.427,3579.487741,45500.53338,101007.6791,60577.95,194324.625,5731.444336,76309.05882,60391.00125,12361.36875,180566.4168,1556634.696,142208.6914,41994.44861,2171288.356,45757.36667,3750703.295,8559.467076,85639.4008,218826.9333,27903.69255,452360.3,1806.609009,45442.3996,19060.48825,16888.50453,21338.87963,135052.771,28279.83296,35081.06632,737044.8807,224081.1071,1537061.906,16837.152,80189.61958,33673.70135,560042.5123,243397.5801,23536.16,114358.2727,117855.5396,357413.1107,12592.216,485867.0776,330870.1929,29843.71875,266817.5749,50246.86378,248545.7389,89548.6692,86998.14678,297154.3015,306641.7468,75806.43813,18916.10286,3398.714499,47246.96571,5936.91541,96271.84795,150836.2747,308274.8982,100027.8721,156587.1429,10346.6106,185089.0195,113861.475,20958.17333,439485.2571,139851.3333,448260.96,231681.1844,162948.1875,272077.0394,417893.1903,331990.96,1067567.065,2621259.917,259457.8963,22191.02877,68633.72111,10288.03524
"HC_5","HC_5",40822.68696,136843.6444,15675.51897,631087.5392,79582.902,10548.34857,117436.4987,46604.10375,54962.57455,48443.2,2232092.693,43263.138,1125164.538,331638.9395,109254.495,83741.94,680482.6905,60788.8345,133932.2611,116983.1886,39679.40213,40663.8,115591.0393,137785.872,7955.798571,780605.4114,40162.37143,634170.6311,5125233.532,67467.65714,51025.86,1177329.838,45028.1391,2343140.927,25973.99063,52832.8252,190392.2157,139126.4564,54045.152,57088.5525,50263.7345,21100.40228,10004.97778,453322.7865,610442.784,321068.604,40377.89996,2033217,214913.1758,445633.4437,17233.37856,71254.6326,50961.47571,661732.6954,131963.8385,28177.4225,11712.06,104822.2263,187444.7993,131880.6267,92440.2336,40290,46053.68412,156365.8373,68753.82333,48402.39444,70657.5568,45615.11143,305876.2269,417032.4543,72429.5475,125268.4812,97343.50042,101716.6557,107132.9868,9943.043571,210632.8136,120831.6748,212183.8123,344355.1629,473928.47,117503.2359,205347.3686,58063.50963,473091.5204,353255.1156,406107.9932,243838.316,58735.54618,427678.7524,355576.9393,364275.9,928667.7547,2749986.074,138681.0019,60326.8,73457.76333,15320.22
"HC_6","HC_6",44593.93357,89851.68075,14490.156,405873.665,819600.53,18790.66667,205363.9664,6250.5765,52087,29299.82222,422160.2567,40530,1029182.915,67440.01,88452.0538,350519.1825,174524.0727,66934.91,645648.7625,7878.676773,74805.80354,97151.99375,124218.7207,29104.70447,57355.72,135425.4575,14060.79082,59585.1938,4230740.218,70095.44286,52120.56934,96838.056,124245.946,180303.3289,64128.19159,5679.481889,121220.3455,102716.6535,19733.65625,339791.0271,13393.83867,40864.43053,106996.7925,882557.7705,778230.162,187588.5556,42963.788,57174.8796,2978.103383,926609.4933,21556.565,41251.5105,42328.80563,877498.9026,74806.90445,111261.7465,46906.25308,1094.620972,188881,61449.77727,76438.79619,3524.4,25112.56667,506125.3584,19929.82555,22250.56478,95445.48771,62339.96125,325962.2215,54549.61,21615.84689,90756.81875,64005.078,104599.8423,171535.455,59875.85577,86283.70525,35510.96,367686.7656,203786.13,726966.3513,218543.5252,63411.525,48344.99445,1229800.607,228546.1015,369543.041,690918.1563,2341.465559,474867.12,11528.06233,487539.66,886167.7961,2037243.533,50684.90571,34353.90517,640709.16,5004.517497
"HC_7","HC_7",41848.47818,80352.8385,10366.80638,315362.5933,207883.566,13976.7375,668378.0747,173259.6513,41236.61091,21240.96,478239.5523,40769.04759,744410.7456,72623.682,50328.243,65638.28576,1279095.068,112441.1186,126130.7638,65641.04388,150571.5071,28465.81,82108.6,9802.35,4607.46,195043.68,16102.811,279219.8909,4483132.2,48121.25,47186.67917,987433.7264,435815.1636,1563244.885,14855.62448,94468.68583,94356.51333,71479.54164,53746.00278,37206.77288,158227.1018,8274.086842,228285.235,527133.3633,358827.832,40597.57091,93057.886,1473024.491,13461.795,78813.6625,23564.46667,63077.715,81628.3475,808792.2767,261598.355,47337.84675,220753.8798,7033.266724,129299.1261,54734.554,406350.8885,129310.2,34377.13333,214589.375,50306.3095,153692.1622,154212.8749,32402.42657,260634.7742,612518.5579,431987.2538,65524.985,31314.6855,125331.0171,6818.94084,803584.7781,104612.3526,270301.1107,139571.2672,460588.08,2012555.705,224916.3693,182852.215,36424.54921,631549.0886,536108.661,418998.88,391077.0514,19475.08154,314849.657,691817.305,368866.8391,772900.2521,959382.1162,231377.2975,73845.23873,87497.81333,5743.762451
"HC_8","HC_8",48673.95446,137540.4888,12185.079,544382.0783,702671.046,21625.19333,170204.5685,18071.288,46380.4,44103.915,27380.0307,36028.63,873425.7995,4419.851227,144107.5068,1767.983836,370720.4722,243355.4918,2875.77846,5253.974909,75120.365,30528.06167,69877.64846,5745.463791,23008.89,14974.60375,81852.24427,225569.5782,9590045.728,55717.9,67142.24959,211391.5895,283587.26,388127.7309,155990.0971,14310.999,33281.78893,121239.241,90667.81455,130284.1028,7546.50293,15982.21871,222559.4833,262841.2638,994269.3511,7148.786122,72965.30063,108130.4744,3024.817976,1799866.067,16407.82178,40714.12484,64299.77143,822935.9762,111950.7775,128242.7194,43717.54333,1325.633276,54089.54925,56844.987,15493.1985,33923.32433,23769.68444,522611.219,19457.4638,14306.84889,299348.3203,69277.056,259311.5636,113964.9026,35188.192,40805.56667,16274.10327,92798.57588,486685.2702,55355.7905,23113.88667,32072.86258,78610.04035,246892.4743,66386.18544,421093.1295,42911,48229.57788,1261146.204,312109.1621,312294.2044,670859.0129,1043.559,401253.2877,26169.90799,397211.12,851398.7755,4884559.599,21032.22857,52668.7,538933.34,5989.8
"HC_9","HC_9",47758.81027,91197.82512,13574.52643,336114.15,65964.14209,12473.06857,442050.3123,62442.105,43942.24,33285.36,1558613.621,34871.94182,1158438.585,225806.5051,168620.5175,15076.18875,708738.771,686606.4258,101006.5873,188999.2386,47788.21,127936.2538,66634.68429,77024.688,19605.76429,172582.8388,27618.68673,979390.6267,9704850.554,93981.62308,46668.35556,622788.5744,106014.71,1243683.089,17734.90995,15430.28375,88386.332,120071.644,77129.724,17745.51314,80243.035,82288.142,6787.736373,48268.06425,846980.519,395041.02,96877.92857,136656.8328,899680.5451,54199.64,24159.235,107112.5235,108102.78,800329.4195,202082.68,37520.15538,101018.9345,324968.3689,29487.53563,75142.76,76385.386,56567.266,20980.16998,175600.3315,22910.731,89287.688,53117.28516,36507.75625,433020.5475,93742.25,62244.3525,106508.4286,294776.916,54422.34857,151300.6832,39470.914,18489.39717,82874.59147,1222796.715,164466.12,2099552.902,289730.8659,84439.1925,52094.67857,829461.2314,205178.4,251640.9,519336.9343,748493.3586,563854.9721,32270.15891,299944.24,601096.3044,3058964.87,61645.7375,25035.71987,1322540.46,6195.155273
"HC_10","HC_10",54327.95308,86583.13875,8867.76144,341584.0855,18274.34009,11602.08948,561373.9357,74366.93333,48301.875,28281.2,183611.0067,37219.56364,647478.2366,30939.48667,22381.5081,200199.7095,1222715.078,46481.99188,355786.1104,133903.335,109597.6346,30460.33105,70714.17467,492826.5488,11736.60429,73000.4275,36203.5625,47604.4875,1269440.1,95561.61,39853.76532,5600047.16,86732.03727,10090343.23,2715.9587,49074.27111,87913.49833,35919.1742,423524.052,56642.02844,259423.2727,265273.5735,16175.76349,79428.89813,176145.1244,14242.84,190931.5157,2515811.17,360003.05,607710.5867,17324.82371,125852.9265,168866.155,947061.6025,308460.8195,44399.04425,199133.5255,162162.8937,255636.4097,25122.67125,408531.1819,190288.0913,27816.41333,279644.4958,363527.5545,187254.546,148106.304,125205.7938,174672.3964,194656,110517.0667,24498.01714,12829.8135,33887.49385,56069.08,90022.93515,300147.2641,390080.5446,45434.33033,100229.22,446708.4252,70539.339,568438.2975,40873.284,752519.8044,104203.8,375961.95,454348.731,174938.6809,362330.3775,182789.7157,320233.5609,978844.7301,1425291.914,100595.6213,46542.76184,86117.504,8940.560547
